ID_POS	Flag_AF	Flag_SB	Flag_COV
ERR4423031_8755	True	True	True
ERR4421647_11812	True	False	False
ERR4421647_16174	True	True	False
ERR4422806_10764	True	True	True
ERR4424882_7071	True	True	False
ERR4597938_13281	True	False	False
ERR4638100_7035	True	True	True
SRR19476007_15070	True	True	False
ERR4640377_9011	True	False	False
ERR4583964_10999	True	True	True
SRR23538241_14114	True	True	False
SRR23593996_5260	True	True	True
ERR4584020_27382	False	False	False
SRR19952149_8651	True	True	False
ERR4460173_960	True	True	False
ERR4638391_10764	True	True	True
ERR4585094_24755	True	False	False
ERR4905383_27855	False	False	True
ERR4459370_8401	True	False	True
ERR4461609_4228	False	False	False
ERR4581742_3412	True	False	False
ERR4585207_20371	False	False	False
ERR4639973_28336	False	False	False
ERR4603981_28877	False	False	False
ERR4603981_28878	False	False	False
ERR4604010_1325	True	True	False
ERR4604010_16690	True	False	False
ERR4584910_7131	True	False	True
ERR4597723_2933	False	False	True
ERR4555198_25596	False	False	False
ERR4584635_27784	True	True	True
ERR4638209_29751	True	False	False
ERR4638383_29751	True	False	False
ERR4643122_679	False	False	False
ERR4585200_28822	False	False	False
ERR4876225_28292	True	True	False
ERR4878329_25741	True	False	True
ERR5021184_25902	True	True	True
ERR4891969_27870	True	False	False
ERR4877290_8720	False	True	False
ERR10682373_20989	True	False	False
ERR4421477_29751	True	False	False
ERR4421447_13502	True	True	True
ERR4638302_21974	True	True	False
ERR4641900_27436	True	True	False
ERR4632071_26308	True	False	False
ERR4584497_8888	False	False	True
ERR4584509_11694	True	True	True
ERR4584515_8888	False	False	True
ERR4584515_26520	False	False	True
ERR4584515_28043	False	False	False
ERR4584569_8888	True	True	True
ERR4584604_26520	True	True	True
ERR4638102_21658	True	True	True
ERR4584647_7035	False	False	True
ERR4597585_28394	True	True	True
ERR4639834_28763	True	True	False
ERR4638599_6718	True	True	True
ERR4638599_27855	True	True	True
ERR4637979_10764	True	True	True
ERR4637824_23405	True	False	False
ERR4890299_88	True	False	False
ERR4892318_12910	False	False	False
ERR4892950_24131	True	True	False
ERR4638460_10764	True	True	True
ERR4638460_10999	True	True	True
ERR4640968_28826	True	True	False
ERR4637949_9272	True	True	True
ERR4637949_10999	True	True	True
ERR4633694_19805	True	True	False
ERR4640015_27551	False	True	False
ERR4643588_7382	True	False	False
ERR4642656_20947	True	False	True
ERR4639460_10999	True	True	True
ERR4637805_5609	True	True	False
ERR4637805_9627	False	True	True
ERR4638344_10999	True	True	True
ERR4637772_918	True	False	False
ERR4633876_20091	True	False	True
ERR4640591_10999	True	True	True
ERR4633696_11065	True	False	False
ERR4641794_3806	False	False	False
ERR4637436_1719	True	False	False
ERR4632297_2129	True	True	False
ERR4633704_1527	False	False	False
ERR4638240_7035	True	True	True
ERR4584651_7035	True	True	True
ERR4584651_27784	True	True	True
ERR4597706_2743	False	False	False
ERR4581097_9272	True	True	True
ERR4598685_5461	True	True	False
ERR4598685_25241	True	False	False
ERR4581325_22922	True	False	False
ERR4495771_5634	True	True	False
ERR4632227_27850	True	True	False
ERR4640987_7974	True	True	False
ERR4438053_27935	False	False	False
ERR4437560_3877	True	False	True
ERR4640636_12301	True	True	True
ERR4639350_28251	True	True	False
ERR4639350_28254	True	True	False
ERR4495757_6127	True	False	False
ERR4495762_8448	True	False	True
ERR4424926_10764	True	True	True
ERR4639098_21875	True	False	False
ERR4643020_6718	True	True	True
ERR4643020_20172	True	False	True
ERR4893498_6168	True	True	True
ERR4638539_7035	True	True	True
ERR4584608_27784	True	True	True
ERR4585163_24335	False	False	False
ERR4422507_29386	True	True	False
ERR4422899_3072	True	False	True
ERR4424289_2808	False	True	True
ERR4424289_7482	False	False	False
ERR4424289_7523	False	False	False
ERR4424798_5028	False	False	True
ERR4422445_371	True	False	False
ERR4422445_21506	True	False	True
ERR4460528_1355	False	True	True
ERR4424210_2857	True	True	False
ERR4637905_3847	True	True	False
ERR4637110_5354	True	False	False
ERR4637110_22670	True	False	False
ERR4638005_2680	True	False	True
ERR4638005_29030	True	True	False
ERR4584660_7035	True	True	True
ERR4640282_9974	False	False	False
ERR4640282_10117	False	True	False
ERR4638459_10764	True	True	True
ERR4598322_27382	False	True	False
ERR4638636_3144	True	True	True
ERR4638636_6718	True	True	True
ERR4638636_8595	True	True	True
ERR4422384_7305	True	True	True
ERR4422384_22516	True	True	True
ERR4638598_6718	True	True	True
ERR4638598_8595	True	True	True
ERR4638424_26713	False	False	False
ERR4641052_10999	True	True	True
ERR4639378_10999	True	True	True
ERR4639378_25064	True	True	False
ERR4632249_26114	False	False	False
ERR4640613_10764	True	True	True
ERR4633357_10999	True	True	True
ERR4642652_28260	False	True	False
ERR4633701_23419	False	False	False
ERR4438858_22487	True	False	False
ERR4640417_14493	True	True	False
ERR4638104_19844	True	True	True
ERR4581719_9634	True	True	True
ERR4461683_13465	True	False	True
ERR4461757_9458	True	False	True
