ID	Position	position	nucleotide_martin	nucleotide_origin	label	label2	label_mar	label_ori
ERR4423031	8755							
ERR4421647	11812							
ERR4421647	16174							
ERR4422806	10764							
ERR4424882	7071							
ERR4597938	13281							
ERR4638100	7035							
SRR19476007	15070							
ERR4640377	9011							
ERR4583964	10999							
SRR23538241	14114							
SRR23593996	5260							
ERR4584020	27382							
SRR19952149	8651							
ERR4460173	960							
ERR4638391	10764							
ERR4585094	24755							
ERR4905383	27855							
ERR4459370	8401							
ERR4461609	4228							
ERR4581742	3412							
ERR4585207	20371							
ERR4639973	28336							
ERR4603981	28877							
ERR4603981	28878							
ERR4604010	1325							
ERR4604010	16690							
ERR4584910	7131							
ERR4597723	2933							
ERR4555198	25596							
ERR4584635	27784							
ERR4638209	29751							
ERR4638383	29751							
ERR4643122	679							
ERR4585200	28822							
ERR4876225	28292							
ERR4878329	25741							
ERR5021184	25902							
ERR4891969	27870							
ERR4877290	8720							
ERR10682373	20989							
ERR4421477	29751							
ERR4421447	13502							
ERR4638302	21974							
ERR4641900	27436							
ERR4632071	26308							
ERR4584497	8888							
ERR4584509	11694							
ERR4584515	8888							
ERR4584515	26520							
ERR4584515	28043							
ERR4584569	8888							
ERR4584604	26520							
ERR4638102	21658							
ERR4584647	7035							
ERR4597585	28394							
ERR4639834	28763							
ERR4638599	6718							
ERR4638599	27855							
ERR4637979	10764							
ERR4637824	23405							
ERR4890299	88							
ERR4892318	12910							
ERR4892950	24131							
ERR4638460	10764							
ERR4638460	10999							
ERR4640968	28826							
ERR4637949	9272							
ERR4637949	10999							
ERR4633694	19805							
ERR4640015	27551							
ERR4643588	7382							
ERR4642656	20947							
ERR4639460	10999							
ERR4637805	5609							
ERR4637805	9627							
ERR4638344	10999							
ERR4637772	918							
ERR4633876	20091							
ERR4640591	10999							
ERR4633696	11065							
ERR4641794	3806							
ERR4637436	1719							
ERR4632297	2129							
ERR4633704	1527							
ERR4638240	7035							
ERR4584651	7035							
ERR4584651	27784							
ERR4597706	2743							
ERR4581097	9272							
ERR4598685	5461							
ERR4598685	25241							
ERR4581325	22922							
ERR4495771	5634							
ERR4632227	27850							
ERR4640987	7974							
ERR4438053	27935							
ERR4437560	3877							
ERR4640636	12301							
ERR4639350	28251							
ERR4639350	28254							
ERR4495757	6127							
ERR4495762	8448							
ERR4424926	10764							
ERR4639098	21875							
ERR4643020	6718							
ERR4643020	20172							
ERR4893498	6168							
ERR4638539	7035							
ERR4584608	27784							
ERR4585163	24335							
ERR4422507	29386							
ERR4422899	3072							
ERR4424289	2808							
ERR4424289	7482							
ERR4424289	7523							
ERR4424798	5028							
ERR4422445	371							
ERR4422445	21506							
ERR4460528	1355							
ERR4424210	2857							
ERR4637905	3847							
ERR4637110	5354							
ERR4637110	22670							
ERR4638005	2680							
ERR4638005	29030							
ERR4584660	7035							
ERR4640282	9974							
ERR4640282	10117							
ERR4638459	10764							
ERR4598322	27382							
ERR4638636	3144							
ERR4638636	6718							
ERR4638636	8595							
ERR4422384	7305							
ERR4422384	22516							
ERR4638598	6718							
ERR4638598	8595							
ERR4638424	26713							
ERR4641052	10999							
ERR4639378	10999							
ERR4639378	25064							
ERR4632249	26114							
ERR4640613	10764							
ERR4633357	10999							
ERR4642652	28260							
ERR4633701	23419							
ERR4438858	22487							
ERR4640417	14493							
ERR4638104	19844							
ERR4581719	9634							
ERR4461683	13465							
ERR4461757	9458							
ERR4437139	29138							
ERR4638521	7035							
ERR4638521	19844							
ERR4633841	10877							
ERR4640332	23587							
ERR4581462	28451							
ERR4598144	25574							
ERR4460818	10361							
ERR4633534	7240							
ERR4633510	25696							
ERR4598001	749							
ERR4458966	10361							
ERR10687971	2608							
ERR4639439	10999							
ERR4459737	20753							
ERR4422878	22347							
ERR4422878	22516							
ERR4422846	25790							
ERR4421654	16301							
ERR4641905	24755							
ERR4640017	10999							
ERR4636982	19023							
ERR4459729	17749							
ERR4461436	20040							
