ID_POS	Flag_AF	Flag_SB	Flag_COV
ERR4424882_7071	True	True	False
SRR19472635_9086	True	True	False
SRR19928806_2335	True	True	False
SRR19928806_8651	True	True	True
SRR19928806_28088	True	True	True
SRR19476361_5260	True	True	True
SRR19470659_8651	False	False	True
SRR19470659_13791	True	True	False
SRR19470659_15521	True	True	True
SRR23067719_23260	True	False	False
SRR21816398_24389	True	False	False
SRR21816398_24390	True	False	False
SRR19475992_8651	True	True	True
ERR10692872_25903	True	True	False
SRR20746041_26774	False	True	False
SRR20745939_28512	False	False	False
ERR10692411_23794	True	True	False
ERR10692411_26029	True	False	False
SRR20746018_12114	True	True	False
SRR20746018_19917	True	True	False
ERR10692874_22033	False	False	False
SRR21864198_28877	False	False	False
SRR21864198_28878	False	False	False
SRR20746010_21624	False	False	True
SRR20746055_25908	False	True	False
ERR10709818_26730	False	False	False
ERR10688860_28251	True	True	False
ERR10688860_28254	True	True	False
SRR19928094_1998	True	True	False
SRR19928094_14026	True	True	False
ERR4641331_9634	False	False	False
ERR4641331_24321	True	False	False
ERR4603973_28910	False	True	True
ERR4423996_8888	True	True	True
ERR4423996_11438	False	False	True
ERR4597938_13281	True	False	False
ERR4638100_7035	True	True	True
ERR4585200_28822	False	False	False
ERR4459370_8401	True	False	True
ERR4584910_7131	True	False	True
ERR4555198_25596	False	False	False
ERR4597657_14866	True	True	False
ERR4640618_28895	True	False	False
ERR4642293_13714	True	False	False
ERR4640765_29124	True	False	True
ERR4638375_22034	True	True	False
ERR4638383_29751	True	False	False
ERR4639386_1976	False	True	False
ERR4585094_24755	True	False	False
ERR4597878_567	False	True	False
ERR4583964_10999	True	True	True
ERR4585207_20371	False	False	False
ERR4422390_950	True	True	False
ERR4641300_10999	True	True	True
ERR4641083_2769	True	False	True
SRR19658901_29870	True	True	True
SRR19928598_8651	True	True	True
ERR4461663_5353	True	False	True
ERR4461663_26020	True	False	True
ERR4589097_22487	True	False	False
ERR4589996_21964	True	True	False
ERR4461025_19548	True	True	True
ERR4589011_29744	True	True	True
ERR4436923_1905	False	True	False
ERR4589145_5941	True	True	False
ERR4589835_15982	True	False	False
ERR4615932_28923	True	False	False
ERR10709198_22802	True	True	False
ERR10709198_28276	False	False	False
ERR4589991_3538	True	False	False
ERR4589991_22708	False	False	False
ERR10704836_16188	True	True	False
ERR4589207_25681	True	True	False
ERR4589881_427	True	False	False
ERR4589881_27792	True	True	True
ERR4589045_8252	False	False	False
ERR4589846_25715	False	False	False
ERR4589121_24739	False	False	False
SRR19475047_5260	True	True	True
SRR19475047_8651	True	True	True
SRR19476031_8651	True	True	True
SRR19476031_25247	True	True	False
SRR19476031_26951	True	True	False
ERR4638421_10999	True	True	True
ERR4638421_28878	True	False	False
ERR4638421_29742	True	False	True
ERR4423888_25681	True	False	False
ERR4423888_26365	False	True	False
ERR4461087_13561	True	False	True
ERR4459357_10282	False	True	False
SRR19928535_8651	True	True	True
ERR4643016_3144	True	True	True
ERR4643016_6718	True	True	True
ERR4643016_7943	True	True	True
ERR4643016_20172	True	True	True
ERR4643016_24391	True	True	True
ERR5025665_7018	True	False	False
ERR5020955_29751	True	False	False
ERR5025044_28081	True	True	True
ERR5025136_29734	False	False	True
ERR4877197_5837	True	False	False
ERR4890609_16158	True	False	False
ERR10708671_29867	True	False	True
ERR4892049_24764	False	False	False
ERR4641240_28139	False	False	False
ERR4460184_18627	True	False	False
ERR10687165_17479	True	False	False
ERR10687165_25721	True	False	False
ERR4461264_29030	True	True	False
SRR23056895_22995	True	False	False
SRR19475321_8651	True	True	True
SRR19475321_27676	True	True	True
ERR4423116_19300	False	True	True
ERR4424399_6461	False	False	False
SRR19645591_28178	False	False	False
SRR21717314_13424	True	False	False
SRR21135713_1346	True	False	False
SRR19475048_8651	True	True	True
SRR19476094_8651	True	True	True
ERR4425345_14467	False	False	False
SRR19475468_15210	True	True	False
ERR4637574_12507	True	False	True
SRR23066686_18702	True	False	False
SRR23066264_14145	True	False	False
SRR19475554_8651	True	True	True
SRR19475554_29468	True	False	True
SRR19645681_14349	True	True	False
SRR19645695_5766	True	False	False
SRR19645695_24914	True	True	False
SRR19645695_27259	True	True	False
SRR19645442_18310	True	True	True
SRR19645442_22255	True	False	True
SRR19645411_5743	True	True	False
SRR19645411_27259	True	True	False
SRR19890746_18428	True	True	False
SRR19475693_8651	True	True	True
SRR19473953_8651	True	True	True
SRR19476028_8651	True	True	True
SRR23065732_19026	True	False	False
SRR23066661_17567	True	False	False
SRR19928647_8651	True	True	True
SRR23599537_21304	True	False	False
SRR23594388_1871	True	True	False
SRR23594388_5260	True	True	True
SRR23056743_25556	True	False	False
SRR19890994_29372	True	True	False
SRR23599570_27176	True	True	False
SRR19473992_8651	True	True	True
SRR19473992_10625	True	True	False
SRR23057155_11955	True	False	False
SRR23057155_15633	True	False	False
SRR23057155_27601	True	False	False
SRR21757433_2046	False	False	False
SRR21757305_18474	True	True	False
SRR19475963_2373	True	False	False
SRR19475963_8651	True	True	True
SRR23065904_27282	True	False	False
SRR21757292_16846	False	False	False
SRR19476013_8651	True	True	True
SRR19928193_27327	True	True	False
SRR23066402_29405	True	False	False
SRR19928200_8651	False	False	True
SRR19928200_10469	True	True	False
SRR19475788_27147	True	True	False
SRR19928460_1757	True	True	False
SRR23066225_23370	True	False	False
SRR19476162_2017	True	True	False
SRR19476162_21650	True	True	True
SRR23065746_27793	True	False	True
SRR23066717_22661	True	False	False
SRR19476130_8651	True	True	True
SRR23066434_21744	True	False	False
SRR23594754_5260	True	True	False
SRR23594410_26861	True	True	False
SRR23056841_25447	True	False	False
ERR4438490_27784	True	True	False
ERR4436957_2428	True	False	False
ERR4424334_19300	True	False	True
ERR4638552_2252	True	True	False
ERR4638552_7035	True	True	True
