ID_POS	Flag_AF	Flag_SB	Flag_COV
ERR4423031_8755	True	True	True
ERR4421647_11812	True	False	False
ERR4421647_16174	True	True	False
ERR4597938_13281	True	False	False
ERR4640377_9011	True	False	False
SRR23593996_5260	True	True	True
ERR4638391_10764	True	True	True
ERR4459370_8401	True	False	True
ERR4581742_3412	True	False	False
ERR4604010_1325	True	True	False
ERR4604010_16690	True	False	False
ERR4584910_7131	True	False	True
ERR4584635_27784	True	True	True
ERR4421447_13502	True	True	True
ERR4641900_27436	True	True	False
ERR4632071_26308	True	False	False
ERR4584497_8888	False	False	True
ERR4584509_11694	True	True	True
ERR4584515_26520	False	False	True
ERR4597585_28394	True	True	True
ERR4890299_88	True	False	False
ERR4638460_10764	True	True	True
ERR4640968_28826	True	True	False
ERR4633694_19805	True	True	False
ERR4643588_7382	True	False	False
ERR4642656_20947	True	False	True
ERR4638344_10999	True	True	True
ERR4637772_918	True	False	False
ERR4633876_20091	True	False	True
ERR4640591_10999	True	True	True
ERR4637436_1719	True	False	False
ERR4632297_2129	True	True	False
ERR4584651_27784	True	True	True
ERR4598685_5461	True	True	False
ERR4598685_25241	True	False	False
ERR4581325_22922	True	False	False
ERR4437560_3877	True	False	True
ERR4640636_12301	True	True	True
ERR4495757_6127	True	False	False
ERR4643020_6718	True	True	True
ERR4643020_20172	True	False	True
ERR4422507_29386	True	True	False
ERR4422899_3072	True	False	True
ERR4422445_371	True	False	False
ERR4422445_21506	True	False	True
ERR4424210_2857	True	True	False
ERR4637110_5354	True	False	False
ERR4637110_22670	True	False	False
ERR4638005_2680	True	False	True
ERR4422384_7305	True	True	True
ERR4639378_10999	True	True	True
ERR4640417_14493	True	True	False
ERR4461683_13465	True	False	True
ERR4461757_9458	True	False	True
ERR4437139_29138	True	False	True
ERR4598144_25574	True	False	False
ERR4459737_20753	True	True	False
ERR4422878_22347	True	True	True
ERR4422878_22516	True	True	True
ERR4422846_25790	True	True	False
ERR4461436_20040	True	True	True
ERR4640386_20172	True	True	True
ERR4495689_22487	True	False	True
ERR4584068_26427	True	False	False
ERR4422876_11541	True	True	False
ERR4585077_10764	True	True	True
ERR4584505_19844	True	True	True
ERR4597362_10764	True	True	True
ERR4597362_10999	True	True	True
ERR4597362_23122	True	True	True
ERR4597362_23789	True	True	True
ERR4597362_24391	True	True	True
ERR4495783_6599	True	False	False
ERR4495472_20771	True	False	False
ERR4581459_12499	True	False	False
ERR4422860_7305	True	True	True
ERR4422953_29867	True	False	True
ERR4641235_20311	True	False	False
ERR4438670_10848	True	False	True
ERR4438691_3296	True	True	False
ERR4438691_9013	True	False	False
ERR4438691_24656	True	False	False
ERR4422487_10201	True	False	True
ERR4439760_29751	True	False	False
ERR4422369_29867	True	True	True
ERR4422676_29468	True	True	False
ERR4633850_13	False	False	True
ERR4495625_4436	True	True	False
SRR19928545_20480	True	True	True
SRR19475745_5240	True	False	False
ERR4640407_16292	True	True	False
ERR4424470_11151	True	False	False
ERR4438042_10304	True	False	True
ERR4637483_22232	True	False	False
ERR4438616_17783	True	False	False
ERR4459882_16414	True	False	True
SRR19928002_17125	True	True	False
SRR19475477_8651	True	True	True
SRR19476093_8651	True	True	True
ERR4437632_10595	True	False	False
SRR19475493_321	True	True	True
SRR19476083_21650	True	True	True
ERR7289839_12422	True	False	True
ERR6445750_24914	True	True	False
SRR22553765_22506	True	False	True
SRR22553765_22508	True	False	True
ERR7860170_3877	True	False	True
ERR7807678_25	True	True	True
ERR7844157_1678	True	False	True
ERR7787310_3686	True	True	False
ERR7896965_25	True	True	True
ERR7941439_26029	True	True	False
ERR7904250_362	True	True	False
ERR7896722_25	True	False	True
ERR7878599_72	True	True	False
ERR7810009_22806	True	True	True
ERR7853952_23118	True	False	False
ERR8018390_25	True	False	True
ERR7941631_6822	True	True	False
ERR7859258_21	False	False	True
ERR7859258_23854	True	True	False
SRR20898475_15521	True	True	False
SRR20861911_25267	True	False	True
SRR20871196_25683	True	True	False
SRR19478725_21618	True	False	False
SRR19478618_23461	True	True	False
ERR7940514_25	True	True	True
SRR19473686_17704	True	True	True
SRR21547328_27151	True	False	True
ERR7798383_25	True	False	True
ERR7832271_25	True	False	True
ERR7832093_19858	True	True	False
ERR7832209_25	True	True	True
ERR7809335_25	True	True	True
ERR7809335_790	True	False	True
ERR7810755_25	True	False	True
ERR7810957_3877	True	False	True
ERR7798337_11753	False	True	True
ERR7810838_12422	True	False	True
ERR7810782_23853	True	True	True
ERR7810952_25	True	True	True
ERR7897375_26798	True	False	True
ERR7798317_15521	True	True	False
ERR7942244_24797	True	True	False
ERR7904666_25	False	True	True
ERR7832192_25	True	False	True
ERR7898858_1678	True	False	True
ERR7904806_15521	True	True	False
ERR7899107_234	True	True	True
ERR7755671_8785	True	False	False
ERR7810747_22844	False	True	True
ERR7875796_25	False	False	True
ERR7805974_25	True	False	True
ERR7809304_19119	True	False	False
