ID_POS	Flag_AF	Flag_SB	Flag_COV
ERR4638391_10764	True	True	True
ERR4421447_13502	True	True	True
ERR4597585_28394	True	True	True
ERR4638460_10764	True	True	True
ERR4638344_10999	True	True	True
ERR4640591_10999	True	True	True
ERR4643020_6718	True	True	True
ERR4643020_20172	True	False	True
ERR4422384_7305	True	True	True
ERR4639378_10999	True	True	True
ERR4422878_22347	True	True	True
ERR4422878_22516	True	True	True
ERR4640386_20172	True	True	True
ERR4495689_22487	True	False	True
ERR4597362_10764	True	True	True
ERR4597362_10999	True	True	True
ERR4597362_23122	True	True	True
ERR4597362_23789	True	True	True
ERR4597362_24391	True	True	True
ERR4422860_7305	True	True	True
ERR4422953_29867	True	False	True
ERR4422369_29867	True	True	True
ERR4633850_13	False	False	True
ERR7807678_25	True	True	True
ERR7896965_25	True	True	True
ERR7896722_25	True	False	True
ERR7878599_72	True	True	False
ERR7810009_22806	True	True	True
ERR8018390_25	True	False	True
ERR7859258_21	False	False	True
ERR7940514_25	True	True	True
ERR7798383_25	True	False	True
ERR7809335_25	True	True	True
ERR7810755_25	True	False	True
ERR7798337_11753	False	True	True
ERR7810782_23853	True	True	True
ERR7810952_25	True	True	True
ERR7897375_26798	True	False	True
ERR7798317_15521	True	True	False
ERR7904666_25	False	True	True
ERR7904806_15521	True	True	False
ERR7810747_22844	False	True	True
ERR7875796_25	False	False	True
ERR7805974_25	True	False	True
ERR7806903_25	True	True	True
ERR7810752_21	False	False	True
ERR7904658_25	True	False	True
ERR7790077_25	True	True	True
ERR7806769_25	True	True	True
ERR7799518_23636	True	True	True
ERR7810915_29794	True	False	True
ERR7829926_25	True	False	True
ERR7799467_23636	True	True	True
ERR7810945_25	True	True	True
ERR7809147_25	False	False	True
ERR7797890_25	True	False	True
ERR7810861_23636	True	True	True
ERR7809627_25	False	False	True
SRR20899402_327	True	True	True
SRR20898992_108	True	True	True
SRR20897989_9	True	True	True
ERR8019736_25	True	True	True
ERR7897501_25	False	False	True
ERR7952354_25	True	False	True
ERR7852038_25	False	False	True
ERR7878381_25	True	False	True
ERR7844878_25	True	True	True
ERR7952107_25	True	True	True
ERR8018295_25	True	True	True
ERR7853416_25	True	True	True
ERR7874433_25	True	False	True
ERR8019221_25	True	False	True
ERR7876513_25	True	True	True
ERR7844679_23854	False	False	True
ERR8183330_67	True	False	False
ERR7898751_25	True	True	True
ERR7807339_18244	True	True	True
ERR7876658_25	False	True	True
ERR7859204_25	True	False	True
ERR7808151_18244	True	True	True
ERR7808193_25	False	False	True
ERR8019030_6747	True	True	True
ERR8019030_23948	True	True	True
ERR8017906_25	False	False	True
ERR8019042_25	False	False	True
ERR8018785_25	False	False	True
ERR8018900_25	False	False	True
ERR7875585_15521	True	True	False
ERR7921377_15521	True	True	False
ERR7904204_25	True	False	True
ERR8019079_25	True	True	True
ERR7799369_25	False	False	True
ERR7798658_25	False	False	True
ERR7799065_25	True	True	True
ERR7896919_29817	True	False	True
ERR8018809_27382	False	True	True
ERR7941976_25	True	True	True
ERR7942032_25	False	False	True
ERR7875633_15521	True	True	False
ERR7941356_25	True	False	True
ERR7941356_15521	True	True	False
ERR7758322_25	True	True	True
ERR7807155_25	True	False	True
ERR7852503_25	True	True	True
ERR7877109_18244	True	True	True
ERR7808502_25	True	False	True
ERR7808459_25	False	False	True
ERR7810565_25	False	False	True
ERR7878499_25	False	False	True
ERR7811375_11000	True	True	True
ERR7878283_18244	False	False	True
ERR7811574_25	True	False	True
ERR7810477_25	True	True	True
ERR7874830_25	True	False	True
ERR7951743_25	True	True	True
ERR7942073_15521	True	True	False
ERR7941523_25	True	True	True
ERR8018117_25	True	True	True
ERR7904436_25	True	False	True
ERR7897534_29755	False	False	True
ERR7876894_25	True	False	True
ERR7896665_25	False	False	True
ERR7877510_25	False	False	True
ERR7806073_18244	True	True	True
ERR9900798_22	True	False	True
ERR9900988_23854	True	False	True
ERR9900988_23948	True	False	True
ERR7897193_25	True	False	True
SRR20899160_9	True	False	True
SRR20898714_29221	True	True	True
SRR20897671_13	True	True	True
SRR20899795_16	True	True	True
SRR20899602_29769	True	True	True
ERR7859301_23854	False	False	False
ERR8014946_23854	False	False	False
ERR7904736_25	True	False	True
SRR20899161_11005	True	True	True
SRR20898491_9	True	True	True
SRR20899985_78	True	True	True
SRR20898099_27895	True	False	True
ERR7951737_23854	False	False	False
SRR20898644_327	True	True	True
ERR7878237_23854	False	False	False
SRR20898565_29575	True	False	True
ERR7859750_25	True	True	True
SRR20898743_19	False	False	True
SRR20899505_26655	True	True	True
SRR20897690_29769	True	True	True
ERR7941996_23854	False	False	False
ERR8014339_23854	False	False	False
ERR7852019_22806	True	True	True
ERR10022795_25	True	False	True
ERR10022878_25	True	True	True
ERR10020968_25	True	False	True
ERR10032280_78	True	False	True
SRR22063499_29870	True	True	True
ERR10032323_25	True	True	True
ERR10023873_78	True	False	True
SRR19849741_29870	True	True	True
ERR10187468_15521	True	False	True
ERR10021829_23854	True	True	False
SRR21737749_29870	True	True	True
ERR10024363_78	True	True	True
ERR10022610_72	True	False	False
ERR10023718_78	True	False	True
ERR10180963_78	True	True	True
SRR21737848_29870	True	True	True
SRR21737781_29870	True	True	True
SRR21737932_29870	True	True	True
SRR22063484_29870	True	True	True
ERR10214253_78	True	False	True
ERR10180846_78	True	False	True
ERR10214176_78	True	True	True
ERR10024428_78	True	False	True
ERR10214031_25	True	True	True
SRR22470971_78	True	False	False
ERR10022212_78	True	False	True
ERR10214631_78	True	False	True
SRR22063522_417	True	True	True
SRR21738189_29870	True	True	True
SRR21737563_29870	True	True	True
SRR21738169_29870	True	True	True
SRR21737576_29870	True	True	True
SRR21738152_29870	True	True	True
SRR21737977_29870	True	True	True
SRR22063560_29870	True	True	True
SRR22063562_29870	True	True	True
SRR21738013_7575	True	True	True
SRR21737800_29870	True	True	False
SRR22668519_29870	True	True	True
ERR10214502_25	True	False	True
ERR10020823_25	True	False	True
ERR10032237_25	True	True	True
SRR22470989_3989	True	False	False
ERR10024056_25	True	True	True
ERR10024157_25	True	True	True
SRR22063576_29868	False	False	True
ERR10022629_25	True	False	True
SRR21737867_29868	False	False	True
ERR10187627_18254	True	False	True
SRR21737593_417	True	True	True
ERR10181129_23854	True	True	False
ERR10021261_25	True	False	True
SRR21738052_29870	True	True	True
ERR10213939_25	True	False	True
ERR10214248_25	True	True	True
ERR10023600_25	True	False	True
ERR10023791_78	True	False	True
ERR10023599_25	True	False	True
ERR10214374_25	True	False	True
SRR21737909_29870	True	True	True
ERR10023473_78	True	False	True
ERR10031473_25	True	False	True
ERR10039107_9323	True	False	True
SRR21737886_29870	False	False	True
ERR10024383_78	True	False	True
ERR10022369_25	True	True	True
ERR10023423_78	True	False	True
ERR10031549_25	True	True	True
ERR10214056_25	True	True	True
ERR10213900_25	True	True	True
ERR10024586_13752	True	True	True
ERR10180859_78	True	False	True
ERR10213941_25	True	False	True
ERR10180638_25	True	True	True
ERR10032439_25	True	True	True
ERR10214286_78	True	False	True
ERR10214265_25	True	False	True
ERR10214186_25	False	False	True
ERR10032365_25	True	False	True
ERR10032365_15521	True	True	False
ERR10023573_15521	True	True	False
SRR22063497_29868	False	False	True
SRR22470991_78	True	False	False
ERR10214469_25	True	True	True
ERR10213985_25	False	True	True
ERR10213944_25	True	True	True
ERR10214503_25	True	False	True
ERR10020733_25	True	False	True
SRR21737652_29868	False	False	True
ERR10022826_25	True	False	True
ERR10180661_25	True	False	True
ERR10024314_25	True	False	True
ERR10024239_25	True	False	True
ERR10032002_23854	True	True	False
ERR10022467_25	True	False	True
