ID_POS	Flag_AF	Flag_SB	Flag_COV
ERR4460173_960	True	True	False
ERR4905383_27855	False	False	True
ERR4461609_4228	False	False	False
ERR4639973_28336	False	False	False
ERR4603981_28877	False	False	False
ERR4603981_28878	False	False	False
ERR4597723_2933	False	False	True
ERR4638209_29751	True	False	False
ERR4638383_29751	True	False	False
ERR4643122_679	False	False	False
ERR4876225_28292	True	True	False
ERR4878329_25741	True	False	True
ERR5021184_25902	True	True	True
ERR4891969_27870	True	False	False
ERR4877290_8720	False	True	False
ERR4421477_29751	True	False	False
ERR4638302_21974	True	True	False
ERR4639834_28763	True	True	False
ERR4637824_23405	True	False	False
ERR4892318_12910	False	False	False
ERR4892950_24131	True	True	False
ERR4640015_27551	False	True	False
ERR4637805_9627	False	True	True
ERR4633696_11065	True	False	False
ERR4641794_3806	False	False	False
ERR4633704_1527	False	False	False
ERR4597706_2743	False	False	False
ERR4495771_5634	True	True	False
ERR4632227_27850	True	True	False
ERR4438053_27935	False	False	False
ERR4639350_28251	True	True	False
ERR4639350_28254	True	True	False
ERR4639098_21875	True	False	False
ERR4424289_2808	False	True	True
ERR4424289_7482	False	False	False
ERR4424289_7523	False	False	False
ERR4424798_5028	False	False	True
ERR4460528_1355	False	True	True
ERR4637905_3847	True	True	False
ERR4638005_29030	True	True	False
ERR4640282_9974	False	False	False
ERR4640282_10117	False	True	False
ERR4598322_27382	False	True	False
ERR4638424_26713	False	False	False
ERR4639378_25064	True	True	False
ERR4632249_26114	False	False	False
ERR4642652_28260	False	True	False
ERR4633701_23419	False	False	False
ERR4438858_22487	True	False	False
ERR4633841_10877	False	False	False
ERR4640332_23587	False	True	False
ERR4460818_10361	True	False	True
ERR4633534_7240	False	False	False
ERR4633510_25696	False	True	True
ERR4598001_749	False	False	True
ERR4458966_10361	True	False	True
ERR4641905_24755	True	False	False
ERR4636982_19023	True	False	True
ERR4459729_17749	True	True	False
ERR4423893_16658	True	True	False
ERR4495544_26073	False	False	False
ERR4424811_10179	True	False	True
ERR4424811_26528	True	True	False
ERR4422840_29736	True	False	False
ERR4423958_28877	False	False	True
ERR4436997_22046	False	True	False
ERR4424952_25091	False	False	True
ERR4437835_29372	True	True	False
ERR5025288_6305	False	True	False
ERR4459467_3109	False	True	False
ERR4460126_10523	False	False	True
ERR4423330_3764	False	False	False
ERR4876905_26528	True	True	False
ERR4642573_27572	True	False	False
ERR4424470_13717	False	True	True
ERR4637776_27411	True	False	False
ERR4603839_21807	True	False	False
ERR4459882_28902	False	False	False
ERR4615936_19407	False	False	False
ERR4425085_20297	False	False	False
ERR7289839_15521	False	False	False
ERR7289839_15754	True	True	False
ERR6117759_22879	True	True	True
ERR7942079_15521	True	True	False
ERR7945208_1804	True	False	False
ERR7807110_15521	True	True	False
ERR7859623_15521	True	True	False
ERR8018620_4185	True	False	False
ERR7859510_13284	True	False	False
ERR7851248_27728	False	False	False
ERR7941439_15521	False	False	True
ERR8018640_29510	False	False	False
ERR7904402_19936	True	False	False
ERR7877944_15521	False	False	False
ERR7899238_15521	True	True	False
ERR7875537_15418	True	False	True
ERR7876517_5432	True	False	False
ERR7811453_29727	False	True	True
ERR7942806_19667	True	True	True
SRR20899648_12588	False	False	False
ERR8014632_22215	True	False	False
ERR7809284_15521	True	True	False
ERR7798337_15521	True	True	False
ERR7804268_15521	True	True	False
ERR7809412_15521	True	True	False
ERR7810824_3625	True	False	False
ERR7829889_25852	True	False	True
ERR8014684_3625	True	False	False
ERR7798144_19217	True	True	False
ERR7809371_3625	False	False	False
ERR7787238_28342	True	False	False
ERR7810844_23416	False	False	False
ERR7904283_13729	True	False	False
ERR7805974_15521	True	True	False
ERR7875154_27943	True	True	False
ERR7898863_22502	True	True	False
ERR8018070_17399	True	True	False
ERR7904658_15521	True	True	False
ERR7897391_4579	False	True	False
ERR7810904_9371	True	False	False
ERR7872452_27382	True	False	False
ERR7904788_25418	False	True	False
ERR7805638_542	True	True	False
ERR7898981_5148	True	True	False
ERR7854817_13250	False	False	False
ERR7781529_25165	True	False	False
ERR7810768_25350	True	True	False
ERR8018329_28245	True	False	False
ERR8014699_4579	False	True	True
ERR7810920_8839	True	True	True
ERR7810861_12740	True	True	False
ERR8018120_4579	False	True	False
ERR7806739_666	True	True	False
ERR7829855_21304	True	True	False
ERR7809693_27812	False	False	False
ERR7799683_24814	True	False	False
ERR7809624_15521	True	True	False
ERR7904637_2237	True	True	False
SRR20898941_22336	True	True	False
SRR20898542_28336	False	True	False
SRR20898992_522	False	False	False
SRR20898151_19383	False	False	False
SRR20897916_3326	True	True	False
ERR7874423_15521	True	True	False
ERR8014348_15521	True	True	False
ERR7874465_28254	False	False	False
ERR7898752_11583	True	False	False
ERR7874017_29755	False	True	True
ERR7877382_362	False	False	False
ERR7904274_18244	False	False	True
ERR7942169_528	True	True	False
ERR7873520_24358	False	False	False
ERR7810449_24358	True	False	True
ERR7878146_12597	False	True	False
ERR7851578_3548	True	False	True
SRR20899941_23854	False	False	True
SRR20897863_24089	False	True	False
SRR20897881_7309	True	False	False
ERR8185481_15521	False	False	True
ERR8014331_18814	True	False	False
ERR7845321_14252	False	True	False
ERR7877458_15521	True	True	False
ERR7941557_12079	True	False	False
ERR8014808_28492	False	False	False
ERR7897860_15521	True	True	False
ERR7829821_5794	False	True	True
ERR7878537_15521	True	True	False
ERR7875359_25150	True	True	False
ERR7853800_7099	False	True	False
ERR7874671_2433	True	False	False
ERR8014830_15521	True	True	False
ERR7897649_15521	False	False	True
ERR7940889_15521	True	True	False
ERR8017956_13681	True	False	False
ERR7876812_26116	False	True	False
ERR7875642_12328	True	True	False
ERR7921278_786	True	False	False
ERR7896872_27958	False	False	False
ERR7859391_2160	True	True	False
ERR7852847_18474	True	False	False
ERR8014188_27863	True	False	False
ERR7898728_14841	False	False	False
ERR7904502_15521	True	True	False
ERR7942041_15521	True	True	False
ERR7955289_15521	True	True	False
ERR7807006_12556	False	True	False
ERR7797908_15521	True	True	False
ERR7876498_4842	False	False	False
ERR7899508_4579	True	False	False
ERR8185182_23854	False	False	True
ERR8017833_24577	True	True	False
ERR8019027_28423	False	True	False
ERR7876996_3221	False	False	False
ERR7941733_12079	False	False	True
ERR7811570_29686	False	True	True
ERR8019105_8672	True	True	False
ERR7811662_14289	True	False	False
ERR7898735_5794	False	False	False
ERR7877787_28781	False	False	False
ERR7952165_28336	False	False	False
ERR7898062_1804	True	False	False
ERR7853143_7759	True	True	False
ERR7851117_28342	False	False	False
ERR7898134_15521	True	True	False
ERR7941240_22661	True	True	False
ERR7904291_18244	False	False	True
ERR7940618_398	False	False	False
ERR7898139_22028	False	False	True
ERR7897622_1056	True	False	False
ERR8185904_23854	False	False	True
ERR8018177_15033	True	True	False
ERR8014837_25137	True	True	False
ERR7942832_15521	True	True	False
ERR7873349_15521	True	True	False
ERR8017928_27382	True	True	True
