ID	Position	AF_Ratio	SB_Ratio
ERR7107271	1	0.0	0.0
ERR6770028	1	0.0	0.0
ERR7352067	1	0.0	0.0
ERR5025733	1	0.0	0.0
ERR6348731	1	0.0	0.0
ERR6421815	2	0.0	0.0
ERR10658645	2	0.0	0.0
ERR6348731	2	0.0	0.0
ERR7107271	2	0.0	0.0
ERR5025733	2	0.0	0.0
ERR6421815	3	0.0	0.0
ERR6770028	3	0.0	0.0
ERR5025733	3	0.0	0.0
ERR6348731	3	0.0	0.0
ERR6586663	3	0.0	0.0
ERR6586663	4	0.0	0.0
ERR6770028	4	0.0	0.0
ERR6421815	4	0.0	0.0
ERR6444963	4	0.0	0.0
ERR5025733	4	0.0	0.0
ERR6542766	5	0.0	0.0
ERR6770028	5	0.0	0.0
ERR6586663	5	0.0	0.0
ERR7107271	5	0.0	0.0
ERR5025733	5	0.0	0.0
ERR6421815	6	0.0	0.0
ERR5025733	6	0.0	0.0
ERR6117629	6	0.0	0.0
ERR6586663	6	0.0	0.0
ERR6348731	6	0.0	0.0
ERR6586663	7	0.0	0.0
ERR6770028	7	0.0	0.0
ERR6421815	7	0.0	0.0
ERR5025733	7	0.0	0.0
ERR10665292	7	0.0	0.0
ERR6586663	8	0.0	0.0
ERR5025733	8	0.0	0.0
ERR6770028	8	0.0	0.0
ERR6348731	8	0.0	0.0
ERR6542766	8	0.0	0.0
ERR5025733	9	0.0	0.0
ERR6348731	9	0.0	0.0
ERR10665292	9	0.0	0.0
SRR21977123	9	0.0	0.0
ERR6586663	9	0.0	0.0
ERR7107271	10	0.0	0.0
ERR6586663	10	0.0	0.0
ERR6542766	10	0.0	0.0
ERR6770028	10	0.0	0.0
ERR5025733	10	0.0	0.0
ERR5025733	11	0.0	0.0
ERR7107271	11	0.0	0.0
ERR6542766	11	0.0	0.0
ERR6770028	11	0.0	0.0
ERR6421815	11	0.0	0.0
ERR6770028	12	0.0	0.0
ERR5025733	12	0.0	0.0
ERR6348731	12	0.0	0.0
ERR6586663	12	0.0	0.0
ERR6542766	12	0.0	0.0
ERR5025733	13	0.0	0.0
ERR7352067	13	0.0	0.0
ERR6770028	13	0.0	0.0
